player_id,Rank,Name,Team,Position,Tier,Mason Dodd Rank,Expert Rank
12508,113,Jaxson Dart,NYG,QB,K,113,111.5
8183,114,Brock Purdy,SF,QB,K,114,107.75
5849,115,Kyler Murray,MIN,QB,K,115,120.75
11563,116,Bo Nix,DEN,QB,K,116,108.25
421,117,Matthew Stafford,LAR,QB,K,117,117.13
11624,118,Xavier Worthy,KC,WR,K,118,111
13262,119,Mike Washington Jr.,LV,RB,K,119,127.25
10219,120,Chris Rodriguez,JAX,RB,K,120,127.63
5947,121,Jakobi Meyers,JAX,WR,K,121,123.13
5872,122,Deebo Samuel,SF,WR,K,122,116.63
11646,123,Jalen Coker,CAR,WR,K,123,125.63
3163,124,Jared Goff,DET,QB,K,124,118.5
6804,125,Jordan Love,GB,QB,K,125,137.63
1466,126,Travis Kelce,KC,TE,K,126,126.63
10236,127,Dalton Kincaid,BUF,TE,K,127,131.88
8110,128,Jake Ferguson,DAL,TE,K,128,130.88
4892,129,Baker Mayfield,TB,QB,K,129,135.13
2025013,130,Tyler Shough,NO,QB,K,130,145.63
5012,131,Mark Andrews,BAL,TE,K,131,139
8161,132,Malik Willis,MIA,QB,K,132,144.88
5022,133,Dallas Goedert,PHI,TE,K,133,131.75
8121,134,Romeo Doubs,NE,WR,K,134,123.63
8134,135,Khalil Shakir,BUF,WR,K,135,138.75
7002,136,Juwan Johnson,NO,TE,K,136,147.63
8676,137,Rashid Shaheed,SEA,WR,K,137,140.25
12522,138,Cam Ward,TEN,QB,K,138,166.88
1479,139,Keenan Allen,IND,WR,K,139,135.25
8132,140,Tyler Allgeier,ARI,RB,K,140,139.75
12504,141,Kaleb Johnson,GB,RB,K,141,169.38
12474,142,Woody Marks,HOU,RB,K,142,133.25
13277,143,Omar Cooper Jr.,NYJ,WR,K,143,160.63
4943,144,Sam Darnold,SEA,QB,K,144,161.38
9758,145,C.J. Stroud,HOU,QB,K,145,160.13
8131,146,Isaiah Likely,NYG,TE,K,146,136.13
5870,147,Daniel Jones,IND,QB,K,147,163.38
13267,148,Denzel Boston,CLE,WR,K,148,126.25
3214,149,Hunter Henry,NE,TE,K,149,163
13243,150,Jonah Coleman,DEN,RB,K,150,135.25
9511,151,Keaton Mitchell,LAC,RB,K,151,143.63
9225,152,Tank Bigsby,PHI,RB,K,152,146.5
12530,153,Travis Hunter,JAX,WR,K,153,134.25
9480,154,Brenton Strange,JAX,TE,K,154,155.75
7049,155,Jauan Jennings,MIN,WR,K,155,202.13
9753,156,Zach Charbonnet,SEA,RB,K,156,175.75
9508,157,Tyjae Spears,TEN,RB,K,157,165.63
8154,158,Brian Robinson,ATL,RB,K,158,165.5
5844,159,T.J. Hockenson,MIN,TE,K,159,170.13
11576,160,Braelon Allen,NYJ,RB,K,160,187.88
10213,161,Tre Tucker,LV,WR,K,161,159.5
9228,162,Bryce Young,CAR,QB,K,162,172.75
8210,163,Chig Okonkwo,WAS,TE,K,163,156.88
12487,164,Terrance Ferguson,LAR,TE,K,164,173.25
11575,165,Ray Davis,BUF,RB,K,165,194.38
12469,166,Dylan Sampson,CLE,RB,K,166,163.5
13364,167,Kaelon Black,SF,RB,K,167,180.63
11618,168,Jalen McMillan,TB,WR,K,168,154.38
9504,169,Kayshon Boutte,HOU,WR,K,169,163.88
13245,170,Nicholas Singleton,TEN,RB,K,170,186.88
7528,171,Najee Harris,NYG,RB,K,171,183.14
13253,172,Emmett Johnson,KC,RB,K,172,166.63
13273,173,Ja'Kobi Lane,BAL,WR,K,173,159.63
12509,174,Tre Harris,LAC,WR,K,174,176.38
13246,175,Kaytron Allen,WAS,RB,K,175,188.75
4035,176,Alvin Kamara,NO,RB,K,176,189.63
8205,177,Isiah Pacheco,DET,RB,K,177,172.86
11655,178,Tyrone Tracy,NYG,RB,K,178,176.43
9506,179,Sean Tucker,TB,RB,K,179,190.29
5001,180,Dalton Schultz,HOU,TE,K,180,166.63
11783,181,Ryan Flournoy,DAL,WR,K,181,191.38
12492,182,Pat Bryant,DEN,WR,K,182,212
11603,183,AJ Barner,SEA,TE,K,183,179.5
13229,184,Fernando Mendoza,LV,QB,K,184,218.38
8180,185,Jalen Nailor,LV,WR,K,185,179.25
12493,186,Oronde Gadsden,LAC,TE,K,186,178.63
96,187,Aaron Rodgers,PIT,QB,K,187,197.5
13280,188,Malachi Fields,NYG,WR,K,188,204.63
13308,189,Kenyon Sadiq,NYJ,TE,K,189,171.75
1373,190,Geno Smith,NYJ,QB,K,190,210.13
13274,191,Zachariah Branch,ATL,WR,K,191,199.38
13271,192,Germie Bernard,PIT,WR,K,192,198.25
13285,193,Ted Hurst,TB,WR,K,193,215.38
